file_path,file_hash,file_size
060531_1315_NTSB-Appeal_No._FOIA-2012-00001-A_Untited_93_FDR_Tab_Data_Report.stat,bffcb09b14f717fa517f91cc6fc728d9da7f21a365a17c0b31c8da60f3232bb2,2627
060531_1315_NTSB-Appeal_No._FOIA-2012-00001-A_Untited_93_FDR_Tab_Data_Report/Attachment III_Tabular_files/DCA01MA065_tabAtoE.csv,fe09bdbdc5dafb1f724fa9603af3641da45f8c3c83062f093eb88c3c39639fb0,3923980
060531_1315_NTSB-Appeal_No._FOIA-2012-00001-A_Untited_93_FDR_Tab_Data_Report/Attachment III_Tabular_files/DCA01MA065_tabFtoL.csv,fd4e1b81de996d8db0ed0e4e8b10522c08dfe65ca5dc46cf8d85f07bfae1f2e5,5194620
060531_1315_NTSB-Appeal_No._FOIA-2012-00001-A_Untited_93_FDR_Tab_Data_Report/Attachment III_Tabular_files/DCA01MA065_tabMtoT.csv,646caa17f79b4ae59b47b44d4332846cf9a9b3afeb875cb8d9bc00c882a60a47,2143017
060531_1315_NTSB-Appeal_No._FOIA-2012-00001-A_Untited_93_FDR_Tab_Data_Report/Attachment III_Tabular_files/DCA01MA065_tabUtoZ.csv,33afabc59d98e18bb55cfcc6367d6272096e2bab7417988f5f27ece2ecb68fbf,2414212
060531_1315_NTSB-Appeal_No._FOIA-2012-00001-A_Untited_93_FDR_Tab_Data_Report/UAL93FDR/UAL93FDR.pdf,aa6c0845403788abc3694c6977420de5960a2b34e490455cb71a45e68b8733a2,5785081
060531_1321_NTSB-Appeal_No._FOIA-2012-00001-A_AAL-77_FDR_Data_Report.stat,64eab0e42106e7957e1e942390f36a06299505b0122a525f212ca7eb7e0af8e7,1510
060531_1321_NTSB-Appeal_No._FOIA-2012-00001-A_AAL-77_FDR_Data_Report/Attachments/DCA01MA064_tabular.csv,70740505826cf97b4fd376a8c225f78c87b7b245f46a4dbbd44ce8c356631138,19618136
060531_1321_NTSB-Appeal_No._FOIA-2012-00001-A_AAL-77_FDR_Data_Report/aa77 FDR/AAL77_fdr.pdf,5784213460f2a2e422f853547611c62f1c71ccae50103f9ffc83a5cae40430cc,5225164
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records.stat,e4a8f7cc77f1558e32ac30e3e2c17e48c18d0b5eafe654b8054c67e633b323da,43479
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/9-11 commn.pdf,d31ac68572d52a4418251e21115e39eec1f2af6df5959bfead6372c4bdcb71a8,847451
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA Photos/AAL11B767200.jpg,a149a76d98971328350d6552d4f967f8c73675551666c4e2ca43f86fe999c861,158717
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA Photos/Thumbs.db,0d5b5e9a22922a98fc7d4f5adcf7850772eedf96eec7c9e4adf8974f84e7974a,6656
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA Photos/aal77B757200.jpg,6f5052d692f24c6d43d960f789dc84c28e2f9db83814ed1d14cb3532ed045dc8,107849
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA77 FDR--Attachments/AAL77_tabular.csv,70740505826cf97b4fd376a8c225f78c87b7b245f46a4dbbd44ce8c356631138,19618136
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA77 FDR-Attachment V - 757-3b_1.TXT,374b269812aece0ad75f182f7864a324cadef04e735ebb296ad8b0ebba107e64,656359
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA77 FDR/AA77 FDR/American 77.fdr,18ad30f72f3d30e5958480252469a1780b51469c903a18c47761ed41fb3ac0f6,25165994
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA77 FDR/American 77.fdr,18ad30f72f3d30e5958480252469a1780b51469c903a18c47761ed41fb3ac0f6,25165994
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/AA77-FDR- Attachment IV- D226A101-3G.pdf,835b516d8b7ad53e2a50f7fc7e6f1cced72f7d187849c1bf807da4c9a328c05c,37501644
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/ATC Report--AA11.pdf,57c1cebb79ebf1b875c6419b2c0fb80aeb831754a43a25077268a67173a3022d,5343706
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/ATC Report--AA77.pdf,9ccd7234cac6cf949e7f0bd7e390935fa4fd47b7be54738ad813fad57dd0edb2,5194986
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/ATC Report--UA175.pdf,794ac9ec8c1e90788ab6be0030ff75af3f84ec65bd1f41779fe00ea55065cbed,6089071
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/ATC Report--UA93.pdf,8ef3f2e3aa8b9c8a27acc777b546227da500e9e34ae7bf2129dde3baf7c733e4,6524646
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/Flight Path Study--AA11.pdf,6e9d9df6f49e48ddd12aca24f0d384e7928d443551532532ced43875e1819b4b,4329268
111028_0837_NTSB-Appeal_No._FOIA-2012-00001-9-11_Records/Flight Path Study--AA77.pdf,eeae54e2d2c2d3253b9ea2d5704c42734f83761ac1ce7698b63aa8567c914884,7890793
