file_path,file_hash,file_size
"EMDC_FOIL_Disk_1_of_2_Sept112001_1_911/Sept 11, 2001 - PowerPoint/Map Products 9.17.01.ppt",688afb2bb86cbeb37f6748dd13e6cf155151c71a0a0f8f55f1e333bba05dddd7,83205120
"EMDC_FOIL_Disk_1_of_2_Sept112001_1_911/Sept 11, 2001 - PowerPoint/Mike.ppt",c961dbdec5c378e0109687dd88bcf9a27ccad58570930ca52a930850d3c43084,4767232
"EMDC_FOIL_Disk_1_of_2_Sept112001_1_911/Sept 11, 2001 - PowerPoint/map products.ppt",9584e3510cfac372aa2db88d23dac4ffaeec8a0dacbd5863884e82a3845966f1,83240448
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/09_16_no_enterzone.jpg,8e7ac8bfad1228993a10514e4cc720c6445a99d4b37316a1e57759da1631e1b1,473352
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/09_16_no_enterzone_2.jpg,8e7ac8bfad1228993a10514e4cc720c6445a99d4b37316a1e57759da1631e1b1,473352
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/10.16coned.jpg,50ae3204cce2621adf3c8fe8d782363392fa3b29943d52fae6c01a668d8ccd94,90883
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/10.17restricted sectors.jpg,7a01d4708800b45acf6d5c5677bbb6bfce0a91ba8e64f566b4a170a274409ee6,144813
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1197_Kennedy.jpg,87bc5b4701bbb9c3b14ca934786be4b5089ff485808c88a0d0d9d517452b3cd2,843115
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1223 HEPA Trucks 10.4.01.jpg,f76e47e0507694735be726f2ffb4bead1473b58288a86c12951d89022c3b573f,468120
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1223 HEPA Trucks.jpg,33d29c0036891e41c2266810d2debdfa0e7f8cf1d1074ff5268d3c455e3cd122,520227
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1432_20011010_NYPDrestricted area.jpg,64b8c1cb3a18faf3596e84e41c9d8bbdbafb9957c77afd75cbdfad932e31e393,1106703
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1432_20011010_NYPDrestricted areaWithout_Grid.jpg,edf6f387ed214c4af0316f37ea5e4049a0fddc37665210da592e781b59bd49f1,1038958
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1537Zone_Asize.jpg,c8e9cd5a12a97fccdc46f696601766eb499f26d857c7bf55226876f64a2a7c23,1243710
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1537Zone_Dsize.jpg,42df4cdd02fea694826cc6427f44e920c03293d36cc697ac6a8afd039474f96e,4928288
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/1546_20011016_FDNYVerrazanoAerial.jpg,e04c28213b014220ed74e60776b10971da52359533c3f31758f35fc5ffe07052,29577484
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/20001_Aerial.jpg,b8887fdd5d19728f5a1c8127f79a79374590fab8e54e17f57819e5c0a27acc9a,1630527
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/20011003_Thermal_Imagery.jpg,aa54a783410179acfdef88c297e11302788fae012a28891c4648df587d4b1694,25265198
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/24Oct_Gas_Detection.jpg,e462f07484c203ee602bd3af552f2236e6499a07dc14847603a101e5c2284318,269238
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/24Oct_Thermal_Detection.jpg,9a8f62c53db560a3c4f53ce8385469c2319c206a5d5c2ece6f9cffdadb09bd6f,262427
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/24Oct_Thermal_WTC_Product3.jpg,e4aa315c0f801a888b1330e3b78b4b28ad6308f23c1a0671033cd2798cab9d40,106165
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/24Oct_World_Trade_Center_Product2.jpg,78e89e9a5f63eceb795a78117bb8dbf1ed039ccccc5168f3b849c7a974854300,105873
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/3dwithfootprintssmall.jpg,c5630ceee70a8380f9845ce8e1050cbbdd6bdc8a0aef1f12b0993d64501a656c,1846955
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/50th&98th_Raster_E.jpg,784f5b06cc4dc48f5cf8beff7138ec0ed6f4601fc8b1faaeb65c0754f88eed04,11146493
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/50th&98th_Vector_E.jpg,b399da52bea48e038694cebc8ef79251dcfb666f6e85d911304a9e3745f38d0d,6633916
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Bayonne_Map_A.jpg,0fbc89c69e1dba9af497e653e7c4a91df718255358982fd34fe8bda447473838,371611
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Bayonne_Map_Imagery_A.jpg,68ed88c990629fa23cfae8bbc2cca577ccfe6ab31ecbda7f98fd6ea58b6f7116,923683
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Brooklyn_Battery_Map_A.jpg,8f77ff3f3d1782d0a05e12c04134a41213cbe3b6fec5050c3a374a10dc8ff516,378524
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Brooklyn_Battery_Map_Imagery_A.jpg,2fc74887177cf3805dbcee77d523cbff5e4da73dac98cb53f0ef2a915b96922f,723233
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Brooklyn_Manhattan_Map_A.jpg,9f01d8faf8102677185123d46943f7ce8d6bd0ec232ce001a1b01b23c3593520,699595
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Brooklyn_Manhattan_Map_Imagery_A.jpg,042948784d76bedd3135ff18b1fb885d729af1fb2a9944db141a875d213d5be6,1057909
